ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
0,3,0.00265835,1.82418,111.494,40.589
1,-999,0.00170759,-999,-999,-999
2,1,0.00151695,2.99787,978.241,239.491
3,-999,0.00196103,-999,-999,-999
4,-999,-0.00296555,-999,-999,-999
5,-999,0.00166609,-999,-999,-999
6,2,0.00175991,1.66873,94.2148,49.178
7,0,0.00309928,-999,-999,32.5238
8,0,0.00277296,-999,-999,-999
9,-999,0.00225302,-999,-999,-999
10,-999,0.00169695,-999,-999,-999
11,3,0.0016158,1.08971,262.085,127.114
12,-999,0.00259312,-999,-999,-999
13,-999,0.0015234,-999,-999,-999
14,1,0.00219785,-999,-999,-999
15,-999,0.00257559,-999,-999,-999
16,2,0.0018524,-999,-999,-999
17,1,0.00257424,-999,-999,-999
18,-999,0.00349724,-999,-999,-999
19,-999,0.00168152,-999,-999,-999
20,-999,0.00233823,-999,-999,-999
21,-999,-0.00505736,-999,-999,-999
22,0,0.00156579,-999,-999,65.1051
23,-999,0.00241528,-999,-999,-999
24,-999,0.00209082,-999,-999,-999
25,0,0.00169413,-999,-999,-999
26,-999,0.00260723,-999,-999,-999
27,-999,0.00239198,-999,-999,-999
28,-999,0.00286382,-999,-999,-999
29,-999,0.00166499,-999,-999,-999
30,0,0.00279851,-999,-999,-999
31,1,0.00262218,-999,-999,-999
32,1,0.00163525,0.130454,57.5368,63.1497
33,3,0.00210229,-999,-999,-999
34,-999,0.0016957,-999,-999,-999
35,0,0.00282032,-999,-999,-999
36,-999,0.00237782,-999,-999,-999
37,-999,0.00210083,-999,-999,-999
38,2,0.00278299,-999,-999,-999
39,-999,0.00256715,-999,-999,-999
40,-999,0.00227066,-999,-999,-999
41,-999,0.00255461,-999,-999,-999
42,-999,0.00172952,-999,-999,-999
43,0,0.00314427,-999,-999,35.6262
44,-999,0.00266936,-999,-999,-999
45,-999,0.00211675,-999,-999,-999
46,-999,0.00200126,-999,-999,-999
47,0,0.00252928,-999,-999,-999
48,-999,0.00164973,-999,-999,-999
49,-999,0.00193365,-999,-999,-999
50,-999,0.00173929,-999,-999,-999
51,0,0.00257028,-999,-999,-999
52,-999,0.00207341,-999,-999,-999
53,-999,0.00209874,-999,-999,-999
54,-999,0.00195025,-999,-999,-999
55,1,0.00185177,-999,-999,59.0781
56,-999,0.0015773,-999,-999,-999
57,3,0.00210837,-999,-999,-999
58,-999,0.0018199,-999,-999,-999
59,0,0.00157805,0.231388,203.059,129.172
60,-999,0.00265824,-999,-999,-999
61,1,0.00241074,-999,-999,46.9906
62,2,0.00268009,-999,-999,-999
63,-999,0.00171068,-999,-999,-999
64,0,0.00304257,-999,-999,-999
65,-999,0.00214146,-999,-999,-999
66,3,0.00283124,-999,-999,-999
67,3,0.00198223,-999,-999,-999
68,-999,0.00205071,-999,-999,-999
69,0,0.0021021,-999,-999,-999
70,-999,0.0012773,-999,-999,-999
71,0,0.00294471,-999,-999,-999
72,0,0.00304249,-999,-999,-999
73,-999,0.00142844,-999,-999,-999
74,-999,0.00218471,-999,-999,-999
75,-999,0.00154939,-999,-999,-999
76,-999,0.00283296,-999,-999,-999
77,-999,0.00249057,-999,-999,-999
78,-999,0.00266479,-999,-999,-999
79,-999,0.00197589,-999,-999,-999
80,-999,0.00192249,-999,-999,-999
81,-999,0.00228047,-999,-999,-999
82,1,0.00207357,-999,-999,-999
83,0,0.00228909,-999,-999,57.969
84,-999,0.00163621,-999,-999,-999
85,-999,0.00167918,-999,-999,-999
86,-999,0.00275149,-999,-999,-999
87,-999,0.00251955,-999,-999,-999
88,-999,0.00211185,-999,-999,-999
89,-999,0.00219799,-999,-999,-999
90,-999,0.00187326,-999,-999,-999
91,-999,0.00175014,-999,-999,-999
92,2,0.00181444,3.00108,327.219,104.809
93,-999,0.00265105,-999,-999,-999
94,-999,0.00241918,-999,-999,-999
95,-999,0.00227403,-999,-999,-999
96,-999,0.00220536,-999,-999,-999
