ID,event_type,weight,DelEta_jj,DijetMass,LeadingJetPt
0,-999,0.000159031,-999,-999,-999
1,3,0.000158999,-999,-999,108.341
2,-999,0.000160062,-999,-999,-999
3,-999,0.000160521,-999,-999,-999
4,1,0.00018166,4.65523,651.592,104.777
5,-999,0.000165406,-999,-999,-999
6,-999,0.000158522,-999,-999,-999
7,-999,0.000157839,-999,-999,-999
8,2,0.000147033,5.33219,1502.65,161.114
9,2,0.000159934,5.70148,739.906,59.9007
10,-999,0.000187322,-999,-999,-999
11,3,0.000161286,5.82221,2254.12,128.378
12,-999,0.0001763,-999,-999,-999
13,-999,0.00018186,-999,-999,-999
14,-999,0.000158473,-999,-999,-999
15,-999,0.000183393,-999,-999,-999
16,0,0.000189133,-999,-999,75.215
17,3,0.000155096,0.305657,39.9309,69.5653
18,-999,0.000151191,-999,-999,-999
19,1,0.000180536,-999,-999,40.287
20,-999,0.000174984,-999,-999,-999
21,-999,0.000158294,-999,-999,-999
22,-999,0.000179058,-999,-999,-999
23,3,0.000160767,-999,-999,-999
24,-999,0.000173859,-999,-999,-999
25,-999,0.000158599,-999,-999,-999
26,-999,0.000158472,-999,-999,-999
27,3,0.000155566,3.90474,284.244,52.5722
28,-999,0.000154792,-999,-999,-999
29,-999,0.000174771,-999,-999,-999
30,-999,0.00015964,-999,-999,-999
31,2,0.000159213,-999,-999,114.628
32,3,0.000161349,-999,-999,62.7226
33,-999,0.000172548,-999,-999,-999
34,2,0.000159602,-999,-999,91.1217
35,-999,0.000166282,-999,-999,-999
36,3,0.000158712,5.18024,985.068,80.2593
37,-999,0.000173175,-999,-999,-999
38,-999,0.000154738,-999,-999,-999
39,-999,0.000157054,-999,-999,-999
40,2,0.000153345,-999,-999,87.1073
41,-999,0.000176972,-999,-999,-999
42,2,0.000157924,-999,-999,172.356
43,-999,0.000172203,-999,-999,-999
44,3,0.000168457,-999,-999,-999
45,-999,0.000176944,-999,-999,-999
46,-999,0.000178773,-999,-999,-999
47,3,0.000145923,4.49484,381.388,49.2812
48,2,0.000161444,4.18391,392.393,59.6937
49,0,0.000173523,4.57731,736.605,117.252
50,2,0.000157363,-999,-999,165.353
51,-999,0.000187808,-999,-999,-999
52,-999,0.000177369,-999,-999,-999
53,-999,0.000173036,-999,-999,-999
54,-999,0.000163859,-999,-999,-999
55,-999,0.00018251,-999,-999,-999
56,0,0.000177723,3.37555,504.09,139.03
57,-999,0.000157829,-999,-999,-999
58,-999,0.000187893,-999,-999,-999
59,2,0.000175453,-999,-999,32.2841
60,-999,0.000172721,-999,-999,-999
61,-999,0.000164918,-999,-999,-999
62,1,0.000178096,4.4659,477.838,52.0522
63,2,0.000167919,-999,-999,45.8582
